obs_id;aip_id;obs_txt_name;obs_txt_name_cz;obs_txt_descr_type;obs_txt_descr_type_cz;obs_val_elev;obs_val_hgt;obs_uom_dist_ver;obs_txt_ver_datum;obs_geo_lat;obs_geo_long;obs_code_datum;obs_txt_descr_marking;obs_txt_descr_marking_cz;obs_txt_descr_lgt;obs_txt_descr_lgt_cz;obs_code_lgt;obs_txt_rmk;obs_txt_rmk_cz
99958;430;ANDELKA;ANDĚLKA;wind power plant;větrná elektrárna;516;146;M;BpV;505919.23N;0145851.06E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99957;429;ANDELKA;ANDĚLKA;wind power plant;větrná elektrárna;524;146;M;BpV;505926.97N;0145840.34E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99959;431;ANDELKA;ANDĚLKA;wind power plant;větrná elektrárna;494;123;M;BpV;505934.18N;0145857.98E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99961;433;ANDELKA;ANDĚLKA;wind power plant;větrná elektrárna;510;146;M;BpV;505927.15N;0145907.48E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99960;432;ANDELKA;ANDĚLKA;wind power plant;větrná elektrárna;489;146;M;BpV;505910.82N;0145901.07E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99963;435;ANDELKA;ANDĚLKA;wind power plant;větrná elektrárna;490;146;M;BpV;505931.34N;0145934.15E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99962;434;ANDELKA;ANDĚLKA;wind power plant;větrná elektrárna;490;146;M;BpV;505919.42N;0145915.12E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83880;260;ANENSKA STUDANKA;ANENSKÁ STUDÁNKA;wind power plant;větrná elektrárna;675;100;M;BpV;495028.15N;0163250.87E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83877;261;ANENSKA STUDANKA;ANENSKÁ STUDÁNKA;wind power plant;větrná elektrárna;683;100;M;BpV;495012.52N;0163253.18E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83879;262;ANENSKA STUDANKA;ANENSKÁ STUDÁNKA;wind power plant;větrná elektrárna;686;100;M;BpV;495018.41N;0163254.77E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83878;263;ANENSKA STUDANKA;ANENSKÁ STUDÁNKA;wind power plant;větrná elektrárna;693;100;M;BpV;495019.74N;0163304.47E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83536;5;AS;AŠ;chimney;komín;730;102;M;BpV;501336.02N;0121123.05E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83829;240;BANTICE;BANTICE;wind power plant;větrná elektrárna;404;150;M;BpV;485205.12N;0160954.24E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83730;173;BENESOV;BENEŠOV;chimney;komín;469;110;M;BpV;494612.74N;0144131.37E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
99867;396c;BEROUN;BEROUN;pole;sloup;363;20;M;BpV;495828.61N;0140359.00E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:396c (Part of line obstacle: 396);NR:396c (Součást liniové překážky: 396)
99866;396b;BEROUN;BEROUN;transmission line;el. vedení;361;112;M;BpV;495822.91N;0140348.61E;WGE;unknown;není známo;ValueEmpty;ValueEmpty;N;NR:396b (Part of line obstacle: 396);NR:396b (Součást liniové překážky: 396)
99865;396a;BEROUN;BEROUN;pole;sloup;359;22;M;BpV;495817.65N;0140339.38E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:396a (Part of line obstacle: 396);NR:396a (Součást liniové překážky: 396)
99881;401c;BOHOSTICE;BOHOSTICE;pole;sloup;492;31;M;BpV;493644.86N;0141004.98E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:401c (Part of line obstacle: 401);NR:401c (Součást liniové překážky: 401)
99880;401b;BOHOSTICE;BOHOSTICE;transmission line;el. vedení;497;154;M;BpV;493646.27N;0140950.50E;WGE;unknown;není známo;ValueEmpty;ValueEmpty;N;NR:401b (Part of line obstacle: 401);NR:401b (Součást liniové překážky: 401)
99879;401a;BOHOSTICE;BOHOSTICE;pole;sloup;502;41;M;BpV;493647.99N;0140929.19E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:401a (Part of line obstacle: 401);NR:401a (Součást liniové překážky: 401)
83733;345;BOHUMIN;BOHUMÍN;chimney;komín;330;122;M;BpV;495333.47N;0182109.82E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99905;411a;BOJANOVICE;BOJANOVICE;pole;sloup;407;44;M;BpV;495102.88N;0142122.96E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:411a (Part of line obstacle: 411);NR:411a (Součást liniové překážky: 411)
99907;411c;BOJANOVICE;BOJANOVICE;pole;sloup;423;65;M;BpV;495114.51N;0142148.29E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:411c (Part of line obstacle: 411);NR:411c (Součást liniové překážky: 411)
99906;411b;BOJANOVICE;BOJANOVICE;transmission line;el. vedení;419;118;M;BpV;495111.49N;0142141.82E;WGE;unknown;není známo;ValueEmpty;ValueEmpty;N;NR:411b (Part of line obstacle: 411);NR:411b (Součást liniové překážky: 411)
83718;279;BRECLAV;BŘECLAV;chimney;komín;275;117;M;BpV;484511.06N;0165343.63E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83772;254;BREZANY;BŘEŽANY;wind power plant;větrná elektrárna;332;100;M;BpV;485318.26N;0162224.05E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83771;253;BREZANY;BŘEŽANY;wind power plant;větrná elektrárna;331;100;M;BpV;485310.25N;0162218.57E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83768;248;BREZANY;BŘEŽANY;wind power plant;větrná elektrárna;327;100;M;BpV;485246.38N;0162202.16E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83770;251;BREZANY;BŘEŽANY;wind power plant;větrná elektrárna;331;100;M;BpV;485302.29N;0162213.10E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83769;249;BREZANY;BŘEŽANY;wind power plant;větrná elektrárna;330;100;M;BpV;485254.29N;0162207.68E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99922;416c;BREZOVA-OLESKO;BŘEZOVÁ-OLEŠKO;pole;sloup;409;52;M;BpV;495428.14N;0142408.23E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:416c (Part of line obstacle: 416);NR:416c (Součást liniové překážky: 416)
