codeGroup,groupInternalId,name,type,lighted,markingDescription,heightUnit,heightValue,elevationValue,latutide,longitude,defaultHeightFlag,verticalPrecision,lateralPrecision,obstacleRadius,linkedToGroupInternalId,linkType
,,ENBW WINDPARK BALTIC 2,Wind turbine,true,,ft,456,138.9888,54.95028,13.09611,false,,,,,
,,ENBW WINDPARK BALTIC 2 N4,Wind turbine,true,,ft,456,138.9888,54.990833,13.214167,false,,,,,
,,ENBW WINDPARK BALTIC 2 J8,Wind turbine,true,,ft,456,138.9888,54.969166,13.179444,false,,,,,
,,ENBW WINDPARK BALTIC 2 I8,Wind turbine,true,,ft,456,138.9888,54.965557,13.170279,false,,,,,
,,ENBW WINDPARK BALTIC 2 J6,Wind turbine,true,,ft,456,138.9888,54.980278,13.174723,false,,,,,
,,ENBW WINDPARK BALTIC 2,Wind turbine,true,,ft,456,138.9888,54.949722,13.083889,false,,,,,
,,ENBW WINDPARK BALTIC 2,Wind turbine,true,,ft,456,138.9888,54.9575,13.092777,false,,,,,
,,ENBW WINDPARK BALTIC 2,Wind turbine,true,,ft,456,138.9888,54.96472,13.101667,false,,,,,
,,ENBW WINDPARK BALTIC 2,Wind turbine,true,,ft,456,138.9888,54.958336,13.104723,false,,,,,
,,ENBW WINDPARK BALTIC 2,Wind turbine,true,,ft,456,138.9888,54.951946,13.107779,false,,,,,
,,ENBW WINDPARK BALTIC 2,Wind turbine,true,,ft,456,138.9888,54.971947,13.110556,false,,,,,
,,ENBW WINDPARK BALTIC 2,Wind turbine,true,,ft,456,138.9888,54.96611,13.113334,false,,,,,
,,ENBW WINDPARK BALTIC 2,Wind turbine,true,,ft,456,138.9888,54.960278,13.116112,false,,,,,
,,ENBW WINDPARK BALTIC 2,Wind turbine,true,,ft,456,138.9888,54.954166,13.118889,false,,,,,
,,ENBW WINDPARK BALTIC 2 E1,Wind turbine,true,,ft,456,138.9888,54.97889,13.118889,false,,,,,
,,ENBW WINDPARK BALTIC 2 E2,Wind turbine,true,,ft,456,138.9888,54.973335,13.121667,false,,,,,
,,ENBW WINDPARK BALTIC 2 E3,Wind turbine,true,,ft,456,138.9888,54.9675,13.123889,false,,,,,
,,ENBW WINDPARK BALTIC 2 E4,Wind turbine,true,,ft,456,138.9888,54.961945,13.126667,false,,,,,
,,ENBW WINDPARK BALTIC 2 E5,Wind turbine,true,,ft,456,138.9888,54.95639,13.129444,false,,,,,
,,ENBW WINDPARK BALTIC 2 F1,Wind turbine,true,,ft,456,138.9888,54.985558,13.126945,false,,,,,
,,ENBW WINDPARK BALTIC 2 F2,Wind turbine,true,,ft,456,138.9888,54.98,13.129723,false,,,,,
,,ENBW WINDPARK BALTIC 2 F3,Wind turbine,true,,ft,456,138.9888,54.974724,13.131945,false,,,,,
,,ENBW WINDPARK BALTIC 2 F4,Wind turbine,true,,ft,456,138.9888,54.969444,13.134444,false,,,,,
,,ENBW WINDPARK BALTIC 2 F5,Wind turbine,true,,ft,456,138.9888,54.96417,13.137222,false,,,,,
,,ENBW WINDPARK BALTIC 2 F6,Wind turbine,true,,ft,456,138.9888,54.95861,13.139722,false,,,,,
,,ENBW WINDPARK BALTIC 2 G1,Wind turbine,true,,ft,456,138.9888,54.99222,13.135,false,,,,,
