codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"2","CHIMNEY","BARSEBÄCK/MALMÖ","Y","","F R","","55.74419444N","012.92172222E","0","M","371","0","361","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Chimney","ES|ENR|5.4|2019-03-28|CSV"
"9","MAST","HÖRBY 1","Y","","F R/FLG W","","55.80616667N","013.72102778E","0","M","1586","0","1060","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"10","MAST","HÖRRÖD","Y","","F R","","55.78761111N","013.97941667E","0","M","946","0","358","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"12","MAST","TRELLEBORG","Y","","F R","","55.38933333N","013.19636111E","0","M","420","0","328","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"13","MAST","BÖSARP","Y","","F R/FLG W","","55.41177778N","013.29166667E","0","M","498","0","361","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"20","MAST","KIVIK","Y","","F R","","55.66808333N","014.15805556E","0","M","938","0","354","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"21","MAST","GLIMMINGE","Y","","F R","","55.50122222N","014.26091667E","0","M","585","0","361","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"25","MAST","HALMSTAD/OSKARSTRÖM","Y","","F R/FLG W","","56.78997222N","012.93802778E","0","M","1523","0","1066","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"26","CHIMNEY","HÄLSINGBORG","Y","","F R","","56.01208333N","012.71294444E","0","M","423","0","400","N","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Chimney","ES|ENR|5.4|2019-03-28|CSV"
"27","MAST","HÄLSINGBORG/OLYMPIA","Y","","F R","","56.05325000N","012.70816667E","0","M","492","0","361","N","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"47","MAST","KARLSHAMN/1","Y","","FLG W","","56.22691667N","014.77533333E","0","M","1325","0","1099","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"48","CHIMNEY","KARLSHAMN STJÄRNÖ","Y","","F R","","56.15316667N","014.83252778E","0","M","464","0","463","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Chimney","ES|ENR|5.4|2019-03-28|CSV"
"50","MAST","VISLANDA","Y","","F R/FLG W","","56.80900000N","014.38797222E","0","M","1353","0","715","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"62","MAST","TORHAMN 1","Y","","F R","","56.13986111N","015.83125000E","0","M","454","0","361","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"63","MAST","TORHAMN 2","Y","","F R","","56.09852778N","015.86616667E","0","M","365","0","341","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"67","MAST","EMMABODA/BÄLSHULT","Y","","FLG W","","56.77300000N","015.58044444E","0","M","1758","0","1066","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"71","MAST","TINGSRYD 1","Y","","F R","","56.52230556N","015.05755556E","0","M","964","0","328","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"72","MAST","TVING","Y","","F R/FLG W","","56.27508333N","015.48786111E","0","M","789","0","696","Y","FT","300","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast,Note: Support cables within radius 300 m.","ES|ENR|5.4|2019-03-28|CSV"
"83","MAST","BORGHOLM","Y","","F R","","56.83566667N","016.72786111E","0","M","473","0","354","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"84","MAST","ÖLANDS SÖ UDDE","Y","","F R","","56.23363889N","016.45497222E","0","M","385","0","358","Y","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Mast","ES|ENR|5.4|2019-03-28|CSV"
"86","CHIMNEY","GÖTEBORG/BRÄCKE","Y","","F R","","57.70216667N","011.87830556E","0","M","400","0","377","N","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Chimney","ES|ENR|5.4|2019-03-28|CSV"
"88","CHIMNEY","GÖTEBORG/SKEPPSBRON","N","","","","57.70188889N","011.95636111E","0","M","390","0","361","N","FT","0","M","","","","","2019-03-28T00:00:00Z","2021-03-28T00:00:00Z","Chimney","ES|ENR|5.4|2019-03-28|CSV"
