codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"1","CHIMNEY","CHIMNEY","Y","","","","40.39365833N","021.92623333E","0","M","880","0","201","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"2","CHIMNEY","CHIMNEY","Y","","","","40.39415556N","021.92479444E","0","M","880","0","201","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"3","CHIMNEY","CHIMNEY","Y","","","","40.39472222N","021.92377778E","0","M","882","0","203","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"4","TOWER","TOWER","N","","","","40.39592778N","021.92524722E","0","M","792","0","102","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"5","TOWER","TOWER","N","","","","40.39548333N","021.92653611E","0","M","792","0","102","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"6","TOWER","TOWER","N","","","","40.39637222N","021.92396111E","0","M","810","0","121","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"7","BUILDING","BUILDING","N","","","","40.39381389N","021.92324444E","0","M","783","0","104","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"8","WINDTURBINE","WINDTURBINE","Y","","","","37.48941667N","023.89834722E","0","M","190","0","140","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"9","WINDTURBINE","WINDTURBINE","Y","","","","37.48946667N","023.90201111E","0","M","239","0","140","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"10","WINDTURBINE","WINDTURBINE","Y","","","","37.48763889N","023.90419722E","0","M","233","0","140","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"11","WINDTURBINE","WINDTURBINE","Y","","","","37.48547500N","023.90484444E","0","M","253","0","140","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"12","WINDTURBINE","WINDTURBINE","Y","","","","37.48585556N","023.90829444E","0","M","234","0","140","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"13","WINDTURBINE","WINDTURBINE","Y","","","","37.48380833N","023.90877222E","0","M","253","0","140","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"14","WINDTURBINE","WINDTURBINE","Y","","","","37.48410000N","023.91179167E","0","M","259","0","140","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"15","WINDTURBINE","WINDTURBINE","Y","","","","38.48236389N","023.91363889E","0","M","251","0","140","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
