codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"99958","WINDTURBINE","ANDELKA","Y","Y","Night marking","Day marking","50.98867500N","014.98085000E","0","M","516","0","146","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"99957","WINDTURBINE","ANDELKA","Y","Y","Night marking","Day marking","50.99082500N","014.97787222E","0","M","524","0","146","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"99959","WINDTURBINE","ANDELKA","Y","Y","Night marking","Day marking","50.99282778N","014.98277222E","0","M","494","0","123","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"99961","WINDTURBINE","ANDELKA","Y","Y","Night marking","Day marking","50.99087500N","014.98541111E","0","M","510","0","146","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"99960","WINDTURBINE","ANDELKA","Y","Y","Night marking","Day marking","50.98633889N","014.98363056E","0","M","489","0","146","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"99963","WINDTURBINE","ANDELKA","Y","Y","Night marking","Day marking","50.99203889N","014.99281944E","0","M","490","0","146","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"99962","WINDTURBINE","ANDELKA","Y","Y","Night marking","Day marking","50.98872778N","014.98753333E","0","M","490","0","146","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"83880","WINDTURBINE","ANENSKA STUDANKA","Y","Y","Night marking","Day marking","49.84115278N","016.54746389E","0","M","675","0","100","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"83877","WINDTURBINE","ANENSKA STUDANKA","Y","Y","Night marking","Day marking","49.83681111N","016.54810556E","0","M","683","0","100","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"83879","WINDTURBINE","ANENSKA STUDANKA","Y","Y","Night marking","Day marking","49.83844722N","016.54854722E","0","M","686","0","100","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"83878","WINDTURBINE","ANENSKA STUDANKA","Y","Y","Night marking","Day marking","49.83881667N","016.55124167E","0","M","693","0","100","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"83536","CHIMNEY","AS","Y","Y","Night marking","Day marking","50.22667222N","012.18973611E","0","M","730","0","102","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83829","WINDTURBINE","BANTICE","Y","Y","Night marking","Day marking","48.86808889N","016.16506667E","0","M","404","0","150","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"83730","CHIMNEY","BENESOV","N","Y","","Day marking","49.77020556N","014.69204722E","0","M","469","0","110","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"99867","TOWER","BEROUN","N","N","","","49.97461389N","014.06638889E","0","M","363","0","20","Y","M","0","M","72abe9ec-7e41-4a00-a3ed-f529299deaca","Group ID 396","","CABLE","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Pole","LK|ENR|5.4|2019-04-17|CSV"
"99866","TOWER","BEROUN","N","N","","","49.97303056N","014.06350278E","0","M","361","0","112","Y","M","0","M","72abe9ec-7e41-4a00-a3ed-f529299deaca","Group ID 396","99867","CABLE","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Transmission line","LK|ENR|5.4|2019-04-17|CSV"
"99865","TOWER","BEROUN","N","N","","","49.97156944N","014.06093889E","0","M","359","0","22","Y","M","0","M","72abe9ec-7e41-4a00-a3ed-f529299deaca","Group ID 396","99866","CABLE","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Pole","LK|ENR|5.4|2019-04-17|CSV"
